county,party,office,district,candidate,precinct,votes
Pike,DEM,President,,Bernie Sanders,BLOOMING GROVE TWP,63
Pike,DEM,President,,Joseph R. Biden,BLOOMING GROVE TWP,377
Pike,DEM,President,,Tulsi Gabbard,BLOOMING GROVE TWP,4
Pike,DEM,President,,Bernie Sanders,DELAWARE TWP #1,34
Pike,DEM,President,,Joseph R. Biden,DELAWARE TWP #1,191
Pike,DEM,President,,Tulsi Gabbard,DELAWARE TWP #1,7
Pike,DEM,President,,Bernie Sanders,DELAWARE TWP #2,42
Pike,DEM,President,,Joseph R. Biden,DELAWARE TWP #2,168
Pike,DEM,President,,Tulsi Gabbard,DELAWARE TWP #2,4
Pike,DEM,President,,Bernie Sanders,DINGMAN TWP #1,105
Pike,DEM,President,,Joseph R. Biden,DINGMAN TWP #1,383
Pike,DEM,President,,Tulsi Gabbard,DINGMAN TWP #1,10
Pike,DEM,President,,Bernie Sanders,DINGMAN TWP #2,72
Pike,DEM,President,,Joseph R. Biden,DINGMAN TWP #2,330
Pike,DEM,President,,Tulsi Gabbard,DINGMAN TWP #2,4
Pike,DEM,President,,Bernie Sanders,GREENE TWP,43
Pike,DEM,President,,Joseph R. Biden,GREENE TWP,202
Pike,DEM,President,,Tulsi Gabbard,GREENE TWP,11
Pike,DEM,President,,Bernie Sanders,LACKAWAXEN TWP #1,22
Pike,DEM,President,,Joseph R. Biden,LACKAWAXEN TWP #1,130
Pike,DEM,President,,Tulsi Gabbard,LACKAWAXEN TWP #1,3
Pike,DEM,President,,Bernie Sanders,LACKAWAXEN TWP #2,36
Pike,DEM,President,,Joseph R. Biden,LACKAWAXEN TWP #2,131
Pike,DEM,President,,Tulsi Gabbard,LACKAWAXEN TWP #2,0
Pike,DEM,President,,Bernie Sanders,LEHMAN TWP #1,51
Pike,DEM,President,,Joseph R. Biden,LEHMAN TWP #1,308
Pike,DEM,President,,Tulsi Gabbard,LEHMAN TWP #1,11
Pike,DEM,President,,Bernie Sanders,LEHMAN TWP #2,65
Pike,DEM,President,,Joseph R. Biden,LEHMAN TWP #2,414
Pike,DEM,President,,Tulsi Gabbard,LEHMAN TWP #2,4
Pike,DEM,President,,Bernie Sanders,MATAMORAS BORO # 1,10
Pike,DEM,President,,Joseph R. Biden,MATAMORAS BORO # 1,65
Pike,DEM,President,,Tulsi Gabbard,MATAMORAS BORO # 1,4
Pike,DEM,President,,Bernie Sanders,MATAMORAS BORO # 2,18
Pike,DEM,President,,Joseph R. Biden,MATAMORAS BORO # 2,88
Pike,DEM,President,,Tulsi Gabbard,MATAMORAS BORO # 2,3
Pike,DEM,President,,Bernie Sanders,MILFORD BORO,24
Pike,DEM,President,,Joseph R. Biden,MILFORD BORO,90
Pike,DEM,President,,Tulsi Gabbard,MILFORD BORO,4
Pike,DEM,President,,Bernie Sanders,MILFORD TWP,25
Pike,DEM,President,,Joseph R. Biden,MILFORD TWP,131
Pike,DEM,President,,Tulsi Gabbard,MILFORD TWP,1
Pike,DEM,President,,Bernie Sanders,PALMYRA TWP,51
Pike,DEM,President,,Joseph R. Biden,PALMYRA TWP,243
Pike,DEM,President,,Tulsi Gabbard,PALMYRA TWP,3
Pike,DEM,President,,Bernie Sanders,PORTER TWP,3
Pike,DEM,President,,Joseph R. Biden,PORTER TWP,36
Pike,DEM,President,,Tulsi Gabbard,PORTER TWP,0
Pike,DEM,President,,Bernie Sanders,SHOHOLA TWP,39
Pike,DEM,President,,Joseph R. Biden,SHOHOLA TWP,181
Pike,DEM,President,,Tulsi Gabbard,SHOHOLA TWP,7
Pike,DEM,President,,Bernie Sanders,WESTFALL TWP,33
Pike,DEM,President,,Joseph R. Biden,WESTFALL TWP,179
Pike,DEM,President,,Tulsi Gabbard,WESTFALL TWP,3
Pike,REP,President,,Donald J. Trump,BLOOMING GROVE TWP,452
Pike,REP,President,,Roque Rocky De La Fuente,BLOOMING GROVE TWP,3
Pike,REP,President,,Bill Weld,BLOOMING GROVE TWP,22
Pike,REP,President,,Donald J. Trump,DELAWARE TWP #1,324
Pike,REP,President,,Roque Rocky De La Fuente,DELAWARE TWP #1,4
Pike,REP,President,,Bill Weld,DELAWARE TWP #1,5
Pike,REP,President,,Donald J. Trump,DELAWARE TWP #2,306
Pike,REP,President,,Roque Rocky De La Fuente,DELAWARE TWP #2,4
Pike,REP,President,,Bill Weld,DELAWARE TWP #2,6
Pike,REP,President,,Donald J. Trump,DINGMAN TWP #1,562
Pike,REP,President,,Roque Rocky De La Fuente,DINGMAN TWP #1,6
Pike,REP,President,,Bill Weld,DINGMAN TWP #1,24
Pike,REP,President,,Donald J. Trump,DINGMAN TWP #2,479
Pike,REP,President,,Roque Rocky De La Fuente,DINGMAN TWP #2,7
Pike,REP,President,,Bill Weld,DINGMAN TWP #2,25
Pike,REP,President,,Donald J. Trump,GREENE TWP,456
Pike,REP,President,,Roque Rocky De La Fuente,GREENE TWP,5
Pike,REP,President,,Bill Weld,GREENE TWP,19
Pike,REP,President,,Donald J. Trump,LACKAWAXEN TWP #1,288
Pike,REP,President,,Roque Rocky De La Fuente,LACKAWAXEN TWP #1,1
Pike,REP,President,,Bill Weld,LACKAWAXEN TWP #1,9
Pike,REP,President,,Donald J. Trump,LACKAWAXEN TWP #2,350
Pike,REP,President,,Roque Rocky De La Fuente,LACKAWAXEN TWP #2,5
Pike,REP,President,,Bill Weld,LACKAWAXEN TWP #2,13
Pike,REP,President,,Donald J. Trump,LEHMAN TWP #1,251
Pike,REP,President,,Roque Rocky De La Fuente,LEHMAN TWP #1,5
Pike,REP,President,,Bill Weld,LEHMAN TWP #1,8
Pike,REP,President,,Donald J. Trump,LEHMAN TWP #2,210
Pike,REP,President,,Roque Rocky De La Fuente,LEHMAN TWP #2,3
Pike,REP,President,,Bill Weld,LEHMAN TWP #2,13
Pike,REP,President,,Donald J. Trump,MATAMORAS BORO # 1,86
Pike,REP,President,,Roque Rocky De La Fuente,MATAMORAS BORO # 1,2
Pike,REP,President,,Bill Weld,MATAMORAS BORO # 1,4
Pike,REP,President,,Donald J. Trump,MATAMORAS BORO # 2,94
Pike,REP,President,,Roque Rocky De La Fuente,MATAMORAS BORO # 2,1
Pike,REP,President,,Bill Weld,MATAMORAS BORO # 2,7
Pike,REP,President,,Donald J. Trump,MILFORD BORO,96
Pike,REP,President,,Roque Rocky De La Fuente,MILFORD BORO,1
Pike,REP,President,,Bill Weld,MILFORD BORO,6
Pike,REP,President,,Donald J. Trump,MILFORD TWP,191
Pike,REP,President,,Roque Rocky De La Fuente,MILFORD TWP,2
Pike,REP,President,,Bill Weld,MILFORD TWP,5
